Gene	Comparison	Set	Term ID	Description	Annotated	Expected	Observed	Fold Enrichment	Adjusted p value	-log10(pvalue)
Psph	hom_vs_het_wt	ko_response	EMAPA:16104	cardiovascular system	2161	48.10	144	2.99	3.86e-21	20.4134126953282
Psph	hom_vs_het_wt	ko_response	EMAPA:16105	heart	1910	42.51	131	3.08	7.51e-20	19.1243600629958
Psph	hom_vs_het_wt	ko_response	EMAPA:37597	heart and pericardium	1937	43.11	132	3.06	7.51e-20	19.1243600629958
Psph	hom_vs_het_wt	ko_response	EMAPA:16215	primitive heart tube	251	5.59	44	7.88	7.62e-18	17.1180450286604
Psph	hom_vs_het_wt	ko_response	EMAPA:32715	muscle tissue	368	8.19	50	6.10	6.56e-17	16.1830961606243
Psph	hom_vs_het_wt	ko_response	EMAPA:36390	striated muscle tissue	216	4.81	35	7.28	8.18e-14	13.0872466963287
Psph	hom_vs_het_wt	ko_response	EMAPA:32688	cardiac muscle tissue	216	4.81	35	7.28	8.18e-14	13.0872466963287
Psph	hom_vs_het_wt	ko_response	EMAPA:16088	intraembryonic coelom	362	8.06	45	5.59	9.78e-14	13.0096611452124
Psph	hom_vs_het_wt	ko_response	EMAPA:16350	primitive ventricle	134	2.98	28	9.39	2.58e-13	12.5883802940368
Psph	hom_vs_het_wt	ko_response	EMAPA:17701	diaphragm	244	5.43	35	6.44	2.76e-12	11.5590909179348
Psph	hom_vs_het_wt	ko_response	EMAPA:36037	cavity or lining	420	9.35	46	4.92	4.37e-12	11.3595185630296
Psph	hom_vs_het_wt	ko_response	EMAPA:16060	body cavity or lining	413	9.19	45	4.90	9.75e-12	11.0109953843015
Psph	hom_vs_het_wt	ko_response	EMAPA:16342	common atrial chamber	74	1.65	20	12.14	1.40e-11	10.8538719643218
Psph	hom_vs_het_wt	ko_response	EMAPA:35993	vascular element	819	18.23	66	3.62	1.42e-11	10.8477116556169
Psph	hom_vs_het_wt	ko_response	EMAPA:35577	musculature	1722	38.33	105	2.74	1.42e-11	10.8477116556169
Psph	hom_vs_het_wt	ko_response	EMAPA:17883	tongue muscle	291	6.48	37	5.71	1.44e-11	10.8416375079047
Psph	hom_vs_het_wt	ko_response	EMAPA:32743	blood vessel	803	17.87	64	3.58	5.42e-11	10.2660007134616
Psph	hom_vs_het_wt	ko_response	EMAPA:35905	vascular system	910	20.25	68	3.36	1.71e-10	9.76700388960784
Psph	hom_vs_het_wt	ko_response	EMAPA:17331	heart ventricle	1028	22.88	73	3.19	2.52e-10	9.59859945921846
Psph	hom_vs_het_wt	ko_response	EMAPA:17185	tongue	1607	35.77	96	2.68	8.16e-10	9.08830984124614
Psph	hom_vs_het_wt	ko_response	EMAPA:36885	gustatory system	1607	35.77	96	2.68	8.16e-10	9.08830984124614
Psph	hom_vs_het_wt	ko_response	EMAPA:35144	arterial blood vessel	187	4.16	27	6.49	1.38e-09	8.86012091359876
Psph	hom_vs_het_wt	ko_response	EMAPA:36048	hindlimb muscle	95	2.11	19	8.99	4.98e-09	8.30277065724028
Psph	hom_vs_het_wt	ko_response	EMAPA:16706	pharynx	1770	39.39	100	2.54	6.17e-09	8.20971483596676
Psph	hom_vs_het_wt	ko_response	EMAPA:16346	outflow tract	149	3.32	23	6.94	1.07e-08	7.97061622231479
Psph	hom_vs_het_wt	ko_response	EMAPA:36047	limb muscle	100	2.23	19	8.54	1.13e-08	7.94692155651658
Psph	hom_vs_het_wt	ko_response	EMAPA:32634	hindlimb musculature	112	2.49	20	8.02	1.14e-08	7.94309514866353
Psph	hom_vs_het_wt	ko_response	EMAPA:16201	arterial system	344	7.66	35	4.57	2.40e-08	7.61978875828839
Psph	hom_vs_het_wt	ko_response	EMAPA:32700	limb musculature	186	4.14	25	6.04	3.00e-08	7.52287874528034
Psph	hom_vs_het_wt	ko_response	EMAPA:16204	dorsal aorta	167	3.72	24	6.46	3.20e-08	7.49485002168009
Psph	hom_vs_het_wt	ko_response	EMAPA:16688	heart atrium	969	21.57	65	3.01	4.17e-08	7.37986394502624
Psph	hom_vs_het_wt	ko_response	EMAPA:16248	foregut diverticulum	98	2.18	18	8.25	4.17e-08	7.37986394502624
Psph	hom_vs_het_wt	ko_response	EMAPA:36460	great vessel of heart	153	3.41	22	6.46	8.68e-08	7.06148027482351
Psph	hom_vs_het_wt	ko_response	EMAPA:32746	atrium cardiac muscle	58	1.29	14	10.85	9.16e-08	7.03810452633215
Psph	hom_vs_het_wt	ko_response	EMAPA:35988	skeletal muscle	578	12.86	46	3.58	1.06e-07	6.97469413473523
Psph	hom_vs_het_wt	ko_response	EMAPA:16333	bulbus cordis	27	0.60	10	16.64	1.98e-07	6.70333480973847
Psph	hom_vs_het_wt	ko_response	EMAPA:16177	trunk mesenchyme	818	18.21	56	3.08	3.55e-07	6.44977164694491
Psph	hom_vs_het_wt	ko_response	EMAPA:16749	tail mesenchyme	461	10.26	39	3.80	3.66e-07	6.43651891460559
Psph	hom_vs_het_wt	ko_response	EMAPA:19144	upper leg muscle	87	1.94	16	8.26	3.78e-07	6.42250820016277
Psph	hom_vs_het_wt	ko_response	EMAPA:17844	eye skeletal muscle	100	2.23	17	7.64	4.24e-07	6.37263414340727
Psph	hom_vs_het_wt	ko_response	EMAPA:18171	cranial musculature	126	2.80	19	6.78	4.25e-07	6.37161106994969
Psph	hom_vs_het_wt	ko_response	EMAPA:35335	eye muscle	102	2.27	17	7.49	5.45e-07	6.26360349772336
Psph	hom_vs_het_wt	ko_response	EMAPA:16106	cardiogenic plate	30	0.67	10	14.98	5.45e-07	6.26360349772336
Psph	hom_vs_het_wt	ko_response	EMAPA:36054	leg muscle	91	2.03	16	7.90	6.62e-07	6.1791420105603
Psph	hom_vs_het_wt	ko_response	EMAPA:32628	forelimb mesenchyme	416	9.26	36	3.89	7.02e-07	6.15366288787019
Psph	hom_vs_het_wt	ko_response	EMAPA:32757	paraxial mesenchyme	958	21.32	61	2.86	8.29e-07	6.08144546944973
Psph	hom_vs_het_wt	ko_response	EMAPA:35961	embryo mesenchyme	2919	64.97	134	2.06	8.42e-07	6.07468790850035
Psph	hom_vs_het_wt	ko_response	EMAPA:18172	cranial muscle	119	2.65	18	6.80	8.49e-07	6.07109230975605
Psph	hom_vs_het_wt	ko_response	EMAPA:37259	craniocervical region muscle	119	2.65	18	6.80	8.49e-07	6.07109230975605
Psph	hom_vs_het_wt	ko_response	EMAPA:16097	mesenchyme	2930	65.21	134	2.05	1.03e-06	5.98716277529483
Psph	hom_vs_het_wt	ko_response	EMAPA:19107	upper arm muscle	85	1.89	15	7.93	1.56e-06	5.80687540164554
Psph	hom_vs_het_wt	ko_response	EMAPA:32624	forelimb musculature	111	2.47	17	6.88	1.66e-06	5.77989191195994
Psph	hom_vs_het_wt	ko_response	EMAPA:16353	primitive ventricle cardiac muscle	51	1.14	12	10.57	1.67e-06	5.77728352885242
Psph	hom_vs_het_wt	ko_response	EMAPA:35578	skeletal musculature	1004	22.35	62	2.77	1.67e-06	5.77728352885242
Psph	hom_vs_het_wt	ko_response	EMAPA:36053	arm muscle	86	1.91	15	7.84	1.70e-06	5.76955107862173
Psph	hom_vs_het_wt	ko_response	EMAPA:16062	embryo endoderm	234	5.21	25	4.80	1.88e-06	5.72584215073632
Psph	hom_vs_het_wt	ko_response	EMAPA:36049	forelimb muscle	87	1.94	15	7.75	1.90e-06	5.72124639904717
Psph	hom_vs_het_wt	ko_response	EMAPA:35147	artery	101	2.25	16	7.12	2.31e-06	5.63638802010786
Psph	hom_vs_het_wt	ko_response	EMAPA:16247	gut	3913	87.09	164	1.88	2.44e-06	5.61261017366127
Psph	hom_vs_het_wt	ko_response	EMAPA:35986	endoderm	330	7.34	30	4.08	3.09e-06	5.51004152057517
Psph	hom_vs_het_wt	ko_response	EMAPA:18521	intercostal muscle	28	0.62	9	14.44	3.11e-06	5.50723961097316
Psph	hom_vs_het_wt	ko_response	EMAPA:18431	forearm rest of mesenchyme	67	1.49	13	8.72	3.11e-06	5.50723961097316
Psph	hom_vs_het_wt	ko_response	EMAPA:32717	smooth muscle tissue	177	3.94	21	5.33	3.49e-06	5.45717457304082
Psph	hom_vs_het_wt	ko_response	EMAPA:16345	common atrial chamber cardiac muscle	29	0.65	9	13.94	5.35e-06	5.27164621797877
Psph	hom_vs_het_wt	ko_response	EMAPA:32800	ear epithelium	151	3.36	19	5.65	5.40e-06	5.26760624017703
Psph	hom_vs_het_wt	ko_response	EMAPA:31857	trunk	1526	33.96	81	2.38	5.76e-06	5.23957751657679
Psph	hom_vs_het_wt	ko_response	EMAPA:18601	aorta	124	2.76	17	6.16	6.94e-06	5.15864052954514
Psph	hom_vs_het_wt	ko_response	EMAPA:18436	lower leg rest of mesenchyme	95	2.11	15	7.09	7.25e-06	5.13966199342901
Psph	hom_vs_het_wt	ko_response	EMAPA:32705	limb mesenchyme	1151	25.62	66	2.58	7.25e-06	5.13966199342901
Psph	hom_vs_het_wt	ko_response	EMAPA:17743	vertebral axis musculature	571	12.71	41	3.23	7.87e-06	5.10402526764094
Psph	hom_vs_het_wt	ko_response	EMAPA:17419	forearm mesenchyme	142	3.16	18	5.70	9.45e-06	5.02456819149074
Psph	hom_vs_het_wt	ko_response	EMAPA:32754	branchial arch endoderm	50	1.11	11	9.88	1.08e-05	4.96657624451305
Psph	hom_vs_het_wt	ko_response	EMAPA:16250	foregut diverticulum endoderm	41	0.91	10	10.96	1.42e-05	4.84771165561694
Psph	hom_vs_het_wt	ko_response	EMAPA:32883	inner ear epithelium	147	3.27	18	5.50	1.51e-05	4.82102305270683
Psph	hom_vs_het_wt	ko_response	EMAPA:32637	hindlimb mesenchyme	424	9.44	33	3.50	2.09e-05	4.67985371388895
Psph	hom_vs_het_wt	ko_response	EMAPA:16977	midbrain mantle layer	452	10.06	34	3.38	2.98e-05	4.52578373592374
Psph	hom_vs_het_wt	ko_response	EMAPA:32841	myotome	95	2.11	14	6.62	3.16e-05	4.5003129173816
Psph	hom_vs_het_wt	ko_response	EMAPA:31169	somite	831	18.50	52	2.81	3.21e-05	4.49349496759513
Psph	hom_vs_het_wt	ko_response	EMAPA:16751	tail paraxial mesenchyme	314	6.99	27	3.86	3.21e-05	4.49349496759513
Psph	hom_vs_het_wt	ko_response	EMAPA:18167	axial muscle	47	1.05	10	9.56	3.22e-05	4.49214412830417
Psph	hom_vs_het_wt	ko_response	EMAPA:16548	foregut	3277	72.94	139	1.91	3.67e-05	4.43533393574791
Psph	hom_vs_het_wt	ko_response	EMAPA:16251	hindgut diverticulum	71	1.58	12	7.59	4.06e-05	4.39147396642281
Psph	hom_vs_het_wt	ko_response	EMAPA:18234	extrinsic ocular muscle	61	1.36	11	8.10	5.19e-05	4.28483264215154
Psph	hom_vs_het_wt	ko_response	EMAPA:16779	hindlimb bud	296	6.59	26	3.95	6.89e-05	4.16178077809237
Psph	hom_vs_het_wt	ko_response	EMAPA:31109	dermomyotome	215	4.79	21	4.39	7.26e-05	4.13906337929991
Psph	hom_vs_het_wt	ko_response	EMAPA:18185	pelvic girdle muscle	9	0.20	5	24.96	7.31e-05	4.13608262304214
Psph	hom_vs_het_wt	ko_response	EMAPA:32752	branchial pouch	61	1.36	11	8.10	7.31e-05	4.13608262304214
Psph	hom_vs_het_wt	ko_response	EMAPA:16748	tail	1905	42.40	91	2.15	7.32e-05	4.13548891894161
Psph	hom_vs_het_wt	ko_response	EMAPA:32867	lung vascular element	52	1.16	10	8.64	7.72e-05	4.11238269966426
Psph	hom_vs_het_wt	ko_response	EMAPA:16246	alimentary system	4785	106.50	184	1.73	9.02e-05	4.04479346245806
Psph	hom_vs_het_wt	ko_response	EMAPA:35995	respiratory system vascular element	53	1.18	10	8.48	9.06e-05	4.04287180232319
Psph	hom_vs_het_wt	ko_response	EMAPA:18186	gluteal muscle	5	0.11	4	35.94	9.75e-05	4.01099538430146
Psph	hom_vs_het_wt	ko_response	EMAPA:36488	bulbus cordis cardiac muscle	5	0.11	4	35.94	1.08e-04	3.96657624451305
Psph	hom_vs_het_wt	ko_response	EMAPA:32714	musculoskeletal system	2945	65.55	126	1.92	1.13e-04	3.94692155651658
Psph	hom_vs_het_wt	ko_response	EMAPA:32930	gut endoderm	67	1.49	11	7.38	1.14e-04	3.94309514866353
Psph	hom_vs_het_wt	ko_response	EMAPA:16911	telencephalon mantle layer	529	11.77	36	3.06	1.16e-04	3.93554201077308
Psph	hom_vs_het_wt	ko_response	EMAPA:17498	lower leg mesenchyme	174	3.87	18	4.65	1.38e-04	3.86012091359876
Psph	hom_vs_het_wt	ko_response	EMAPA:35991	alimentary system endoderm	67	1.49	11	7.38	1.41e-04	3.85078088734462
Psph	hom_vs_het_wt	ko_response	EMAPA:16586	3rd branchial pouch	33	0.73	8	10.89	1.41e-04	3.85078088734462
Psph	hom_vs_het_wt	ko_response	EMAPA:16546	atrioventricular canal	69	1.54	11	7.16	1.50e-04	3.82390874094432
Psph	hom_vs_het_wt	ko_response	EMAPA:27711	ureteral mesenchyme	84	1.87	12	6.42	1.79e-04	3.74714696902011
Psph	hom_vs_het_wt	ko_response	EMAPA:28909	mesonephros of female	215	4.79	20	4.18	1.84e-04	3.73518217699046
Psph	hom_vs_het_wt	ko_response	EMAPA:37283	appendage	3381	75.25	139	1.85	2.00e-04	3.69897000433602
Psph	hom_vs_het_wt	ko_response	EMAPA:32722	autopod	777	17.29	46	2.66	2.10e-04	3.67778070526608
Psph	hom_vs_het_wt	ko_response	EMAPA:16237	sinus venosus	46	1.02	9	8.79	2.13e-04	3.67162039656126
Psph	hom_vs_het_wt	ko_response	EMAPA:35944	limb bud	606	13.49	39	2.89	2.13e-04	3.67162039656126
Psph	hom_vs_het_wt	ko_response	EMAPA:18184	pelvic girdle musculature	18	0.40	6	14.98	2.13e-04	3.67162039656126
Psph	hom_vs_het_wt	ko_response	EMAPA:37855	girdle musculature	18	0.40	6	14.98	2.13e-04	3.67162039656126
Psph	hom_vs_het_wt	ko_response	EMAPA:16399	3rd branchial arch	130	2.89	15	5.18	2.31e-04	3.63638802010786
Psph	hom_vs_het_wt	ko_response	EMAPA:16098	head mesenchyme	485	10.79	33	3.06	2.61e-04	3.58335949266172
Psph	hom_vs_het_wt	ko_response	EMAPA:16245	visceral organ system	6652	148.05	234	1.58	2.79e-04	3.5543957967264
Psph	hom_vs_het_wt	ko_response	EMAPA:16715	hindgut	559	12.44	36	2.89	3.45e-04	3.46218090492673
Psph	hom_vs_het_wt	ko_response	EMAPA:37032	limb segment	1000	22.26	54	2.43	4.27e-04	3.36957212497498
Psph	hom_vs_het_wt	ko_response	EMAPA:17340	heart right ventricle	40	0.89	8	8.99	4.39e-04	3.35753547975788
Psph	hom_vs_het_wt	ko_response	EMAPA:17321	right atrium	30	0.67	7	10.48	4.92e-04	3.30803489723264
Psph	hom_vs_het_wt	ko_response	EMAPA:17459	foot	598	13.31	37	2.78	6.09e-04	3.21538270736712
Psph	hom_vs_het_wt	ko_response	EMAPA:16184	trunk somite	512	11.40	34	2.98	6.85e-04	3.16430942850757
Psph	hom_vs_het_wt	ko_response	EMAPA:16747	mesonephric tubule	127	2.83	14	4.95	7.31e-04	3.13608262304214
Psph	hom_vs_het_wt	ko_response	EMAPA:32718	diencephalon mantle layer	535	11.91	34	2.86	7.31e-04	3.13608262304214
Psph	hom_vs_het_wt	ko_response	EMAPA:16406	forelimb bud	576	12.82	36	2.81	7.99e-04	3.09745322068601
Psph	hom_vs_het_wt	ko_response	EMAPA:17458	hindlimb	2004	44.60	90	2.02	8.09e-04	3.09205147838773
Psph	hom_vs_het_wt	ko_response	EMAPA:17600	cochlear duct epithelium	44	0.98	8	8.17	8.44e-04	3.07365755337434
Psph	hom_vs_het_wt	ko_response	EMAPA:31144	trunk sclerotome	56	1.25	9	7.22	8.73e-04	3.05898575629443
Psph	hom_vs_het_wt	ko_response	EMAPA:31464	renal large blood vessel	23	0.51	6	11.72	8.73e-04	3.05898575629443
Psph	hom_vs_het_wt	ko_response	EMAPA:35868	tissue	5203	115.80	192	1.66	8.73e-04	3.05898575629443
Psph	hom_vs_het_wt	ko_response	EMAPA:28147	renal cortical arterial system	33	0.73	7	9.53	8.73e-04	3.05898575629443
Psph	hom_vs_het_wt	ko_response	EMAPA:32748	ventricle cardiac muscle	71	1.58	10	6.33	9.47e-04	3.02365002099673
Psph	hom_vs_het_wt	ko_response	EMAPA:32909	gut mesenchyme	253	5.63	21	3.73	9.72e-04	3.01233373507373
Psph	hom_vs_het_wt	ko_response	EMAPA:35888	trunk musculature	117	2.60	13	4.99	9.72e-04	3.01233373507373
Psph	hom_vs_het_wt	ko_response	EMAPA:16405	limb	3150	70.11	128	1.83	1.02e-03	2.99139982823808
Psph	hom_vs_het_wt	ko_response	EMAPA:35618	oral region mesenchyme	245	5.45	20	3.67	1.03e-03	2.98716277529483
