Gene	B9d2	Cc2d2a	Rpgripl1	Kif3b	Kifap3	Ift140	Nek9
Shh	-0.38802	-0.35663	-0.77012	-1.32809	-0.70548	-0.84171	0.302085
Foxa2	-0.3402	-0.29618	-0.71204	-1.47218	-0.66693	-0.50823	0.432701
Nkx2-2	-0.31235	-0.46368	-0.50358	-2.70847	-0.66609	-0.25628	
Nkx2-9	-0.3028		-0.54822	-4.2335	-0.53074	-0.3354	0.503537
Slit1	-0.34939	-0.35246	-0.8103	-0.89028	-0.2846	-0.66943	
Pax6	0.175481		0.400342	-0.3421	0.169481		-0.29304
Emx2		-0.35576		-0.53156	-0.30377	-0.38138	-0.55338
Gli1	-0.19071		-0.53585	-1.63473	-0.80624		0.229162
Pitx2	0.229636			0.44351		0.323508	0.407229
Nkx2-1	-0.27118	-0.37862		-1.29883	-0.50886		
Ptch2			-0.41329	-1.60468	-0.45881		0.306057
Cyp26c1		0.372008		0.774372	0.402774		0.323443
Foxa1			-0.35058		-0.23434	-0.37228	0.503855
Tbx15		-0.44606		-0.88888	-0.33886		-0.49158
Mir9-3hg		-0.27257		-1.26867	-0.23944		-0.48833
Phox2b	-0.24088		-0.56679	-2.83219	-0.47953		
Lin28a		0.277846		0.403586	0.209286		0.449027
Wnt8b	-0.27811		-0.47706	-0.54299	-0.29096	-0.5134	-0.45639
Stmn2		-0.33295		-0.97761	-0.32382		-0.55106
Dmrt2	-0.31329	-0.31246		-0.79145		-0.28256	-0.56125
Rtn1			-0.37356	-0.91859	-0.32671		-0.35668
Ndnf			0.412847	0.68392	0.335567	0.323213	-0.19941
Trh	0.225275		0.368912			0.325371	0.346597
Gm3764	-0.41234	-0.5805	-0.35908	-2.91337	-0.68397	-0.17158	
C130021I20Rik		-0.39672		-0.70713	-0.27157	-0.2456	-0.50156
Gm38103			-0.40133	-2.38163	-0.50563	-0.1845	
