Family	full_length	notDE	DE	padj
L1MdGf_I	all	2439	693	0
L1MdTf_II	all	3314	17	8.5E-15
L1MdTf_I	all	2801	5	3.1E-03
L1MdA_I	all	4798	6	6.9E-03
L1MdA_II	all	5509	6	1.3E-02
MMERGLN-int	all	993	38	0
MMETn-int	all	973	25	0
ETnERV-int	all	887	6	8.8E-07
MTA_Mm-int	all	3017	8	1.3E-05
MMERVK10C-int	all	3205	8	2.0E-05
RLTR46A2	all	56	2	2.0E-04
MMVL30-int	all	959	4	3.8E-04
MMERGLN_LTR	all	425	3	4.7E-04
RLTR16C_MM	all	357	2	7.0E-03
IAPEY4_I-int	all	510	2	1.4E-02
MTB-int	all	601	2	1.9E-02
RNERVK23-int	all	56	1	1.9E-02
RLTR46B	all	70	1	2.4E-02
RLTR1B-int	all	854	2	3.6E-02
SRV_MM-int	all	123	1	4.2E-02
MamGypLTR1a	all	138	1	4.7E-02
LTR81A	all	141	1	4.8E-02
Tigger1	all	1022	4	4.8E-04
FordPrefect	all	287	2	4.6E-03
MMSAT4	all	1756	9	1.7E-08
MurSatRep1	all	2893	14	4.2E-12
L1MdGf_I	full_length	240	479	0
L1MdTf_II	full_length	NA	NA	NA
L1MdTf_I	full_length	NA	NA	NA
L1MdA_I	full_length	NA	NA	NA
L1MdA_II	full_length	NA	NA	NA
MMERGLN-int	full_length	73	36	0
MMETn-int	full_length	135	19	1.74423E-08
ETnERV-int	full_length	NA	NA	NA
MTA_Mm-int	full_length	NA	NA	NA
MMERVK10C-int	full_length	NA	NA	NA
RLTR46A2	full_length	NA	NA	NA
MMVL30-int	full_length	NA	NA	NA
MMERGLN_LTR	full_length	NA	NA	NA
RLTR16C_MM	full_length	NA	NA	NA
IAPEY4_I-int	full_length	NA	NA	NA
MTB-int	full_length	NA	NA	NA
RNERVK23-int	full_length	NA	NA	NA
RLTR46B	full_length	NA	NA	NA
RLTR1B-int	full_length	NA	NA	NA
SRV_MM-int	full_length	NA	NA	NA
MamGypLTR1a	full_length	NA	NA	NA
LTR81A	full_length	NA	NA	NA
Tigger1	full_length	NA	NA	NA
FordPrefect	full_length	NA	NA	NA
MMSAT4	full_length	NA	NA	NA
MurSatRep1	full_length	NA	NA	NA
