Gene	Comparison	Domain	GO.ID	Term	Annotated	Significant	Expected	pval	-log10(pvalue)	Fold.Enrichment	log10(FE)
Adamts3	hom_vs_het_wt	BP	GO:0030334	regulation of cell migration	394	15	5.14	7.2e-05	4.14266750356873	2.91828793774319	0.465128140060405
Adamts3	hom_vs_het_wt	BP	GO:0042789	mRNA transcription from RNA polymerase I...	12	3	0.16	8.8e-05	4.05551732784983	18.75	1.27300127206374
Adamts3	hom_vs_het_wt	BP	GO:0010638	positive regulation of organelle organiz...	314	5	4.1	0.00015	3.82390874094432	1.21951219512195	0.0861861476162834
Adamts3	hom_vs_het_wt	BP	GO:0001701	in utero embryonic development	313	8	4.09	0.00020	3.69897000433602	1.9559902200489	0.291366678984602
Adamts3	hom_vs_het_wt	BP	GO:0035264	multicellular organism growth	124	3	1.62	0.00027	3.56863623584101	1.85185185185185	0.267606240177031
Adamts3	hom_vs_het_wt	BP	GO:0048598	embryonic morphogenesis	461	12	6.02	0.00030	3.52287874528034	1.99335548172757	0.2995847547898
Adamts3	hom_vs_het_wt	BP	GO:0007507	heart development	414	15	5.4	0.00033	3.48148606012211	2.77777777777778	0.443697499232713
Adamts3	hom_vs_het_wt	BP	GO:0048608	reproductive structure development	287	6	3.75	0.00038	3.42021640338319	1.6	0.204119982655925
Adamts3	hom_vs_het_wt	BP	GO:0032956	regulation of actin cytoskeleton organiz...	196	4	2.56	0.00048	3.31875876262441	1.5625	0.193820026016113
Adamts3	hom_vs_het_wt	BP	GO:0097191	extrinsic apoptotic signaling pathway	145	3	1.89	0.00057	3.24412514432751	1.58730158730159	0.200659450546418
Adamts3	hom_vs_het_wt	BP	GO:0001885	endothelial cell development	44	5	0.57	0.00079	3.10237290870956	8.7719298245614	0.943095148663527
Adamts3	hom_vs_het_wt	BP	GO:0045944	positive regulation of transcription fro...	721	20	9.41	0.00097	3.01322826573375	2.12539851222104	0.327440372236724
Adamts3	hom_vs_het_wt	BP	GO:0042127	regulation of cell proliferation	832	18	10.86	0.00142	2.84771165561694	1.65745856353591	0.219442679850478
Adamts3	hom_vs_het_wt	BP	GO:0009791	post-embryonic development	86	5	1.12	0.00149	2.82681373158773	4.46428571428571	0.649751981665837
Adamts3	hom_vs_het_wt	BP	GO:0043547	positive regulation of GTPase activity	294	9	3.84	0.00153	2.8153085691824	2.34375	0.369911285071794
Adamts3	hom_vs_het_wt	BP	GO:0051130	positive regulation of cellular componen...	694	14	9.06	0.00159	2.79860287567955	1.54525386313466	0.188999838001425
Adamts3	hom_vs_het_wt	BP	GO:0007548	sex differentiation	169	4	2.21	0.00207	2.68402965454308	1.80995475113122	0.257667717642852
Adamts3	hom_vs_het_wt	BP	GO:0007420	brain development	498	16	6.5	0.00209	2.67985371388895	2.46153846153846	0.391206626013069
Adamts3	hom_vs_het_wt	BP	GO:0048812	neuron projection morphogenesis	359	11	4.69	0.00251	2.60032627851896	2.3454157782516	0.370219842443142
Adamts3	hom_vs_het_wt	BP	GO:0050767	regulation of neurogenesis	474	13	6.19	0.00257	2.59006687666871	2.10016155088853	0.322252703286719
Adamts3	hom_vs_het_wt	BP	GO:0071363	cellular response to growth factor stimu...	351	13	4.58	0.00280	2.55284196865778	2.83842794759825	0.453077874302967
Adamts3	hom_vs_het_wt	BP	GO:0055010	ventricular cardiac muscle tissue morpho...	42	3	0.55	0.00283	2.54821356447571	5.45454545454545	0.736758565225418
Adamts3	hom_vs_het_wt	BP	GO:0007015	actin filament organization	231	6	3.02	0.00289	2.53910215724345	1.98675496688742	0.298144307426493
Adamts3	hom_vs_het_wt	BP	GO:0070925	organelle assembly	334	6	4.36	0.00291	2.53610701101409	1.37614678899083	0.138664761115058
Adamts3	hom_vs_het_wt	BP	GO:0007492	endoderm development	57	3	0.74	0.00310	2.50863830616573	4.05405405405405	0.607889534988686
Adamts3	hom_vs_het_wt	BP	GO:0060491	regulation of cell projection assembly	104	4	1.36	0.00312	2.50584540598156	2.94117647058824	0.468521082957745
Adamts3	hom_vs_het_wt	BP	GO:0061384	heart trabecula morphogenesis	26	4	0.34	0.00344	2.46344155742847	11.7647058823529	1.07058107428571
Adamts3	hom_vs_het_wt	BP	GO:1900180	regulation of protein localization to nu...	131	3	1.71	0.00353	2.45222529461218	1.75438596491228	0.244125144327509
Adamts3	hom_vs_het_wt	BP	GO:0001938	positive regulation of endothelial cell ...	41	4	0.54	0.00353	2.45222529461218	7.40740740740741	0.869666231504994
Adamts3	hom_vs_het_wt	BP	GO:0007010	cytoskeleton organization	825	16	10.77	0.00359	2.44490555142168	1.48560817084494	0.171904279357943
Adamts3	hom_vs_het_wt	BP	GO:0098609	cell-cell adhesion	285	11	3.72	0.00375	2.42596873227228	2.95698924731183	0.470849745276328
Adamts3	hom_vs_het_wt	BP	GO:0001937	negative regulation of endothelial cell ...	17	3	0.22	0.00412	2.38510278396687	13.6363636363636	1.13469857389746
Adamts3	hom_vs_het_wt	BP	GO:0007160	cell-matrix adhesion	120	6	1.57	0.00420	2.3767507096021	3.82165605095541	0.58225159797441
Adamts3	hom_vs_het_wt	BP	GO:0061138	morphogenesis of a branching epithelium	150	6	1.96	0.00431	2.36552272983927	3.06122448979592	0.485895179027168
Adamts3	hom_vs_het_wt	BP	GO:0001942	hair follicle development	59	3	0.77	0.00502	2.29929628285498	3.8961038961039	0.590630529547181
Adamts3	hom_vs_het_wt	BP	GO:0008015	blood circulation	198	6	2.58	0.00553	2.2572748686953	2.32558139534884	0.366531544420413
Adamts3	hom_vs_het_wt	BP	GO:0071560	cellular response to transforming growth...	139	4	1.81	0.00556	2.25492520841794	2.20994475138122	0.344381416458778
Adamts3	hom_vs_het_wt	BP	GO:1901699	cellular response to nitrogen compound	301	4	3.93	0.00580	2.23657200643706	1.01781170483461	0.00766744095253569
Adamts3	hom_vs_het_wt	BP	GO:0007167	enzyme linked receptor protein signaling...	498	15	6.5	0.00582	2.23507701535011	2.30769230769231	0.363177902412826
Adamts3	hom_vs_het_wt	BP	GO:0035556	intracellular signal transduction	1396	28	18.22	0.00607	2.21681130892474	1.53677277716795	0.18660965870524
Adamts3	hom_vs_het_wt	BP	GO:0003007	heart morphogenesis	191	8	2.49	0.00609	2.21538270736712	3.21285140562249	0.506890639896207
Adamts3	hom_vs_het_wt	BP	GO:0030323	respiratory tube development	148	4	1.93	0.00647	2.1890957193313	2.07253886010363	0.316502682320189
Adamts3	hom_vs_het_wt	BP	GO:0071214	cellular response to abiotic stimulus	172	3	2.25	0.00669	2.17457388223218	1.33333333333333	0.1249387366083
Adamts3	hom_vs_het_wt	BP	GO:0007165	signal transduction	2548	52	33.26	0.00672	2.17263072694617	1.5634395670475	0.194081098751299
Adamts3	hom_vs_het_wt	BP	GO:0030182	neuron differentiation	802	20	10.47	0.00674	2.17134010346468	1.91021967526266	0.281083313985139
Adamts3	hom_vs_het_wt	BP	GO:0051098	regulation of binding	235	5	3.07	0.00691	2.1605219526258	1.62866449511401	0.211831628858832
Adamts3	hom_vs_het_wt	BP	GO:0022603	regulation of anatomical structure morph...	616	20	8.04	0.00693	2.15926676538819	2.48756218905473	0.39577394691553
Adamts3	hom_vs_het_wt	BP	GO:0018193	peptidyl-amino acid modification	675	13	8.81	0.00695	2.15801519540989	1.47559591373439	0.168967443894789
Adamts3	hom_vs_het_wt	BP	GO:0035239	tube morphogenesis	279	11	3.64	0.00721	2.14206473528057	3.02197802197802	0.480291301509169
Adamts3	hom_vs_het_wt	BP	GO:0044093	positive regulation of molecular functio...	1009	19	13.17	0.00724	2.14026143380285	1.44267274107821	0.159167825991045
Adamts3	hom_vs_het_wt	BP	GO:0009199	ribonucleoside triphosphate metabolic pr...	490	13	6.4	0.00753	2.1232050237993	2.03125	0.30776337832295
Adamts3	hom_vs_het_wt	BP	GO:0048468	cell development	1331	32	17.37	0.00767	2.11520463605102	1.84225676453656	0.265350159872807
Adamts3	hom_vs_het_wt	BP	GO:0048523	negative regulation of cellular process	2454	43	32.03	0.00778	2.10902040301031	1.34249141429909	0.127911516915765
Adamts3	hom_vs_het_wt	BP	GO:0048839	inner ear development	119	6	1.55	0.00801	2.09636748391576	3.87096774193548	0.587819552213352
Adamts3	hom_vs_het_wt	BP	GO:0060541	respiratory system development	163	5	2.13	0.00813	2.08990945440593	2.34741784037559	0.370590400897281
Adamts3	hom_vs_het_wt	BP	GO:0001501	skeletal system development	319	11	4.16	0.00820	2.08618614761628	2.64423076923077	0.422299354531482
Adamts3	hom_vs_het_wt	BP	GO:0048667	cell morphogenesis involved in neuron di...	342	11	4.46	0.00847	2.07211658966929	2.46636771300448	0.392057826446083
Adamts3	hom_vs_het_wt	BP	GO:0045765	regulation of angiogenesis	114	8	1.49	0.00904	2.04383156952464	5.36912751677852	0.72990371857967
Adamts3	hom_vs_het_wt	BP	GO:0009894	regulation of catabolic process	797	19	10.4	0.00914	2.03905380426617	1.82692307692308	0.261720261654049
Adamts3	hom_vs_het_wt	BP	GO:0046777	protein autophosphorylation	155	7	2.02	0.00920	2.03621217265444	3.46534653465347	0.539746670567633
Adamts3	hom_vs_het_wt	BP	GO:0048844	artery morphogenesis	48	3	0.63	0.00988	2.00524305541237	4.76190476190476	0.677780705266081
Adamts3	hom_vs_het_wt	BP	GO:2000147	positive regulation of cell motility	232	8	3.03	0.01029	1.98758462523757	2.64026402640264	0.421647358489639
Adamts3	hom_vs_het_wt	BP	GO:0031346	positive regulation of cell projection o...	218	7	2.85	0.01034	1.98547946124208	2.45614035087719	0.390253180005747
Adamts3	hom_vs_het_wt	BP	GO:0030324	lung development	145	4	1.89	0.01077	1.96778429670202	2.11640211640212	0.325598187154718
Adamts3	hom_vs_het_wt	BP	GO:0045664	regulation of neuron differentiation	391	10	5.1	0.01084	1.96497071779763	1.96078431372549	0.292429823902064
Adamts3	hom_vs_het_wt	BP	GO:0046822	regulation of nucleocytoplasmic transpor...	143	3	1.87	0.01092	1.96177736163128	1.60427807486631	0.205279648183163
Adamts3	hom_vs_het_wt	BP	GO:0051247	positive regulation of protein metabolic...	751	13	9.8	0.01096	1.96018944585165	1.3265306122449	0.122717276614342
Adamts3	hom_vs_het_wt	BP	GO:0031401	positive regulation of protein modificat...	556	12	7.26	0.01105	1.95663772197887	1.65289256198347	0.218244625347531
Adamts3	hom_vs_het_wt	BP	GO:0051056	regulation of small GTPase mediated sign...	164	4	2.14	0.01111	1.95428594105913	1.86915887850467	0.271646217978772
Adamts3	hom_vs_het_wt	BP	GO:0030335	positive regulation of cell migration	225	8	2.94	0.01147	1.94043658209873	2.72108843537415	0.434742656579786
Adamts3	hom_vs_het_wt	BP	GO:0001508	action potential	126	3	1.64	0.01154	1.93779419118029	1.82926829268293	0.262277406671964
Adamts3	hom_vs_het_wt	BP	GO:0010033	response to organic substance	1372	26	17.91	0.01174	1.9303319030884	1.45170295924065	0.161877762121786
Adamts3	hom_vs_het_wt	BP	GO:0048568	embryonic organ development	328	10	4.28	0.01182	1.92738252345476	2.33644859813084	0.368556230986828
Adamts3	hom_vs_het_wt	BP	GO:0003158	endothelium development	80	7	1.04	0.01210	1.91721462968355	6.73076923076923	0.828064700715476
Adamts3	hom_vs_het_wt	BP	GO:0072384	organelle transport along microtubule	32	5	0.42	0.01244	1.9051796196452	11.9047619047619	1.07572071393812
Adamts3	hom_vs_het_wt	BP	GO:0051272	positive regulation of cellular componen...	234	8	3.05	0.01252	1.90239567112559	2.62295081967213	0.418790147645158
Adamts3	hom_vs_het_wt	BP	GO:0002009	morphogenesis of an epithelium	348	11	4.54	0.01273	1.89517159634634	2.42290748898678	0.384336832301121
Adamts3	hom_vs_het_wt	BP	GO:0003222	ventricular trabecula myocardium morphog...	14	3	0.18	0.01288	1.89008413697621	16.6666666666667	1.22184874961636
Adamts3	hom_vs_het_wt	BP	GO:0016310	phosphorylation	1276	18	16.65	0.01300	1.88605664769316	1.08108108108108	0.0338582672609674
Adamts3	hom_vs_het_wt	BP	GO:0045471	response to ethanol	73	3	0.95	0.01318	1.88008458974201	3.15789473684211	0.499397649430815
Adamts3	hom_vs_het_wt	BP	GO:2000027	regulation of organ morphogenesis	111	3	1.45	0.01322	1.87876854485038	2.06896551724138	0.315753252484688
Adamts3	hom_vs_het_wt	BP	GO:0000226	microtubule cytoskeleton organization	370	6	4.83	0.01401	1.85356186471423	1.24223602484472	0.0942041196321314
Adamts3	hom_vs_het_wt	BP	GO:0048584	positive regulation of response to stimu...	888	18	11.59	0.01425	1.84618513565547	1.55306298533218	0.19118906913971
Adamts3	hom_vs_het_wt	BP	GO:0035904	aorta development	43	3	0.56	0.01434	1.84345084866822	5.35714285714286	0.728933227713462
Adamts3	hom_vs_het_wt	BP	GO:0000902	cell morphogenesis	832	23	10.86	0.01436	1.84284556009372	2.11786372007366	0.325898010764765
Adamts3	hom_vs_het_wt	BP	GO:0060562	epithelial tube morphogenesis	264	10	3.45	0.01449	1.83893161452883	2.89855072463768	0.462180904926726
Adamts3	hom_vs_het_wt	BP	GO:0007409	axonogenesis	265	11	3.46	0.01508	1.82159865846624	3.17919075144509	0.502316586365448
Adamts3	hom_vs_het_wt	BP	GO:0060348	bone development	112	8	1.46	0.01510	1.82102305270683	5.47945205479452	0.738737131207506
Adamts3	hom_vs_het_wt	BP	GO:0006325	chromatin organization	510	15	6.66	0.01511	1.82073553566097	2.25225225225225	0.35261702988538
Adamts3	hom_vs_het_wt	BP	GO:0018205	peptidyl-lysine modification	181	4	2.36	0.01517	1.81901441921327	1.69491525423729	0.229147988357856
Adamts3	hom_vs_het_wt	BP	GO:0007017	microtubule-based process	490	12	6.4	0.01547	1.81050968630063	1.875	0.273001272063738
Adamts3	hom_vs_het_wt	BP	GO:0048646	anatomical structure formation involved ...	678	21	8.85	0.01624	1.78941397509484	2.3728813559322	0.375276024036094
Adamts3	hom_vs_het_wt	BP	GO:0010975	regulation of neuron projection developm...	289	8	3.77	0.01626	1.78887945874195	2.12201591511936	0.326748636786151
Adamts3	hom_vs_het_wt	BP	GO:0061564	axon development	290	11	3.79	0.01637	1.78595132058806	2.9023746701847	0.462753475190153
Adamts3	hom_vs_het_wt	BP	GO:0040017	positive regulation of locomotion	241	9	3.15	0.01645	1.78383409771401	2.85714285714286	0.455931955649724
Adamts3	hom_vs_het_wt	BP	GO:0009205	purine ribonucleoside triphosphate metab...	483	13	6.3	0.01648	1.7830427926389	2.06349206349206	0.314602802853255
Adamts3	hom_vs_het_wt	BP	GO:0014068	positive regulation of phosphatidylinosi...	31	3	0.4	0.01658	1.78041547378575	7.5	0.8750612633917
Adamts3	hom_vs_het_wt	BP	GO:0016202	regulation of striated muscle tissue dev...	103	3	1.34	0.01677	1.77546693739391	2.23880597014925	0.350016456354855
Adamts3	hom_vs_het_wt	BP	GO:0033124	regulation of GTP catabolic process	339	13	4.42	0.01678	1.77520804350732	2.94117647058824	0.468521082957745
Adamts3	hom_vs_het_wt	BP	GO:0006184	GTP catabolic process	339	13	4.42	0.01678	1.77520804350732	2.94117647058824	0.468521082957745
Adamts3	hom_vs_het_wt	BP	GO:0043087	regulation of GTPase activity	339	13	4.42	0.01678	1.77520804350732	2.94117647058824	0.468521082957745
Adamts3	hom_vs_het_wt	BP	GO:0060429	epithelium development	701	20	9.15	0.01693	1.77134304189106	2.18579234972678	0.339608901597533
Adamts3	hom_vs_het_wt	BP	GO:0061028	establishment of endothelial barrier	30	4	0.39	0.01715	1.76573587562121	10.2564102564103	1.01099538430146
Adamts3	hom_vs_het_wt	BP	GO:0009888	tissue development	1157	29	15.1	0.01728	1.76245626185713	1.9205298013245	0.283421050605787
Adamts3	hom_vs_het_wt	BP	GO:0007179	transforming growth factor beta receptor...	109	4	1.42	0.01728	1.76245626185713	2.8169014084507	0.449771646944906
Adamts3	hom_vs_het_wt	BP	GO:0007186	G-protein coupled receptor signaling pat...	202	5	2.64	0.01822	1.73945162736302	1.89393939393939	0.277366077466188
Adamts3	hom_vs_het_wt	BP	GO:0003279	cardiac septum development	88	6	1.15	0.01939	1.71242219092129	5.21739130434783	0.717453410030032
Adamts3	hom_vs_het_wt	BP	GO:0045446	endothelial cell differentiation	70	6	0.91	0.01942	1.71175077442801	6.59340659340659	0.81910985806255
Adamts3	hom_vs_het_wt	BP	GO:0048745	smooth muscle tissue development	21	3	0.27	0.01977	1.70399333068633	11.1111111111111	1.04575749056068
Adamts3	hom_vs_het_wt	BP	GO:0021952	central nervous system projection neuron...	20	3	0.26	0.02007	1.69745262751251	11.5384615384615	1.06214790674884
Adamts3	hom_vs_het_wt	BP	GO:0001934	positive regulation of protein phosphory...	419	11	5.47	0.02022	1.69421884874502	2.0109689213894	0.303405358824794
Adamts3	hom_vs_het_wt	BP	GO:0032270	positive regulation of cellular protein ...	690	12	9.01	0.02032	1.69207629638812	1.33185349611543	0.124456455068562
Adamts3	hom_vs_het_wt	BP	GO:1902531	regulation of intracellular signal trans...	875	19	11.42	0.02057	1.68676570830528	1.66374781085814	0.221087497043
Adamts3	hom_vs_het_wt	BP	GO:1902589	single-organism organelle organization	1678	28	21.9	0.02065	1.68507994400758	1.27853881278539	0.106713916502101
Adamts3	hom_vs_het_wt	BP	GO:0032535	regulation of cellular component size	211	4	2.75	0.02078	1.68235445677884	1.45454545454545	0.1627272974977
Adamts3	hom_vs_het_wt	BP	GO:0048545	response to steroid hormone	237	6	3.09	0.02121	1.67345933148344	1.94174757281553	0.288192770958809
Adamts3	hom_vs_het_wt	BP	GO:0031329	regulation of cellular catabolic process	724	18	9.45	0.02130	1.67162039656126	1.9047619047619	0.279840696594043
Adamts3	hom_vs_het_wt	BP	GO:0043491	protein kinase B signaling	84	3	1.1	0.02149	1.66776358450856	2.72727272727273	0.435728569561437
Adamts3	hom_vs_het_wt	BP	GO:0007417	central nervous system development	623	18	8.13	0.02193	1.65896136832248	2.2140221402214	0.345181959509238
