Gene	Comparison	Set	Type	Count
4933434E20Rik	hom_vs_het_wt	ko_response	unfiltered	0
4933434E20Rik	hom_vs_het_wt	ko_response	filtered	NA
Adamts3	hom_vs_het_wt	ko_response	unfiltered	140
Adamts3	hom_vs_het_wt	ko_response	filtered	NA
Anks6	hom_vs_het_wt	ko_response	unfiltered	1
Anks6	hom_vs_het_wt	ko_response	filtered	NA
Atxn10	hom_vs_het_wt	ko_response	unfiltered	NA
Atxn10	hom_vs_het_wt	ko_response	filtered	NA
B9d2	hom_vs_het_wt	ko_response	unfiltered	16
B9d2	hom_vs_het_wt	ko_response	filtered	NA
Bap1	hom_vs_het_wt	ko_response	unfiltered	8261
Bap1	hom_vs_het_wt	mrna_abnormal	filtered	2260
Bap1	hom_vs_het_wt	mrna_as_wt	filtered	2010
Bap1	hom_vs_het_wt	not_used	filtered	872
Bap1	hom_vs_het_wt	ko_response	filtered	5921
Brd2	hom_vs_het_wt	ko_response	unfiltered	5789
Brd2	hom_vs_het_wt	mrna_abnormal	filtered	3348
Brd2	hom_vs_het_wt	mrna_as_wt	filtered	1023
Brd2	hom_vs_het_wt	not_used	filtered	1303
Brd2	hom_vs_het_wt	ko_response	filtered	2506
Camsap3	hom_vs_het_wt	ko_response	unfiltered	7
Camsap3	hom_vs_het_wt	ko_response	filtered	NA
Cc2d2a	hom_vs_het_wt	ko_response	unfiltered	62
Cc2d2a	hom_vs_het_wt	ko_response	filtered	NA
Ccdc6	hom_vs_het_wt	ko_response	unfiltered	2361
Ccdc6	hom_vs_het_wt	mrna_abnormal	filtered	549
Ccdc6	hom_vs_het_wt	mrna_as_wt	filtered	178
Ccdc6	hom_vs_het_wt	not_used	filtered	801
Ccdc6	hom_vs_het_wt	ko_response	filtered	2194
Cnot4	hom_vs_het_wt	ko_response	unfiltered	1400
Cnot4	hom_vs_het_wt	mrna_abnormal	filtered	465
Cnot4	hom_vs_het_wt	mrna_as_wt	filtered	113
Cnot4	hom_vs_het_wt	not_used	filtered	1177
Cnot4	hom_vs_het_wt	ko_response	filtered	1303
Col4a3bp	hom_vs_het_wt	ko_response	unfiltered	3402
Col4a3bp	hom_vs_het_wt	mrna_abnormal	filtered	1701
Col4a3bp	hom_vs_het_wt	mrna_as_wt	filtered	1550
Col4a3bp	hom_vs_het_wt	not_used	filtered	582
Col4a3bp	hom_vs_het_wt	ko_response	filtered	1424
Copg	hom_vs_het_wt	ko_response	unfiltered	NA
Copg	hom_vs_het_wt	ko_response	filtered	NA
Coq4	hom_vs_het_wt	ko_response	unfiltered	NA
Coq4	hom_vs_het_wt	ko_response	filtered	NA
Crls	hom_vs_het_wt	ko_response	unfiltered	NA
Crls	hom_vs_het_wt	ko_response	filtered	NA
Cyp11a1	hom_vs_het_wt	ko_response	unfiltered	0
Cyp11a1	hom_vs_het_wt	ko_response	filtered	NA
Dctn1	hom_vs_het_wt	ko_response	unfiltered	NA
Dctn1	hom_vs_het_wt	ko_response	filtered	NA
Dctn4	hom_vs_het_wt	ko_response	unfiltered	NA
Dctn4	hom_vs_het_wt	ko_response	filtered	NA
Dennd4c	hom_vs_het_wt	ko_response	unfiltered	5576
Dennd4c	hom_vs_het_wt	mrna_abnormal	filtered	1222
Dennd4c	hom_vs_het_wt	mrna_as_wt	filtered	773
Dennd4c	hom_vs_het_wt	not_used	filtered	777
Dennd4c	hom_vs_het_wt	ko_response	filtered	4635
Dhodh	hom_vs_het_wt	ko_response	unfiltered	NA
Dhodh	hom_vs_het_wt	ko_response	filtered	NA
Dhx35	hom_vs_het_wt	ko_response	unfiltered	7253
Dhx35	hom_vs_het_wt	mrna_abnormal	filtered	1508
Dhx35	hom_vs_het_wt	mrna_as_wt	filtered	1505
Dhx35	hom_vs_het_wt	not_used	filtered	535
Dhx35	hom_vs_het_wt	ko_response	filtered	5966
Dpm1	hom_vs_het_wt	ko_response	unfiltered	NA
Dpm1	hom_vs_het_wt	ko_response	filtered	NA
Edc4	hom_vs_het_wt	ko_response	unfiltered	61
Edc4	hom_vs_het_wt	mrna_abnormal	filtered	21
Edc4	hom_vs_het_wt	mrna_as_wt	filtered	33
Edc4	hom_vs_het_wt	not_used	filtered	145
Edc4	hom_vs_het_wt	ko_response	filtered	71
Ehmt1	hom_vs_het_wt	ko_response	unfiltered	3658
Ehmt1	hom_vs_het_wt	mrna_abnormal	filtered	2635
Ehmt1	hom_vs_het_wt	mrna_as_wt	filtered	953
Ehmt1	hom_vs_het_wt	not_used	filtered	1742
Ehmt1	hom_vs_het_wt	ko_response	filtered	1414
Elac2	hom_vs_het_wt	ko_response	unfiltered	NA
Elac2	hom_vs_het_wt	ko_response	filtered	NA
