Dir	Gene.Name	Gene.MGI.ID	Ensembl.ID
RIKEN1700007K13	1700007K13Rik	1916577	ENSMUSG00000026831
4933434E20Rik	4933434E20Rik	1914027	ENSMUSG00000027942
Adamts3	Adamts3	3045353	ENSMUSG00000043635
Anks6	Anks6	1922941	ENSMUSG00000066191
Atxn10	Atxn10	1859293	ENSMUSG00000016541
B9d2	B9d2	2387643	ENSMUSG00000063439
Bap1	Bap1	1206586	ENSMUSG00000021901
Brd2	Brd2	99495	ENSMUSG00000024335
Camsap3	Camsap3	1916947	ENSMUSG00000044433
Cc2d2a	Cc2d2a	1924487	ENSMUSG00000039765
Ccdc6	Ccdc6	1923801	ENSMUSG00000048701
Cenpl	Cenpl	1917704	ENSMUSG00000026708
Cnot4	Cnot4	1859026	ENSMUSG00000038784
Col4a3bp	Col4a3bp	1915268	ENSMUSG00000021669
Copg	Copg1	1858696	ENSMUSG00000030058
Coq4	Coq4	1098826	ENSMUSG00000026798
Crls	Crls1	1913836	ENSMUSG00000027357
Cyp11a1	Cyp11a1	88582	ENSMUSG00000032323
Dctn1	Dctn1	107745	ENSMUSG00000031865
Dctn4	Dctn4	1914915	ENSMUSG00000024603
Dennd4c	Dennd4c	1914769	ENSMUSG00000038024
Dhodh	Dhodh	1928378	ENSMUSG00000031730
Dhx35	Dhx35	1918965	ENSMUSG00000027655
Dpm1	Dpm1	1330239	ENSMUSG00000078919
Edc4	Edc4	2446249	ENSMUSG00000036270
Ehmt1	Ehmt1	1924933	ENSMUSG00000036893
Elac2	Elac2	1890496	ENSMUSG00000020549
Fam160a	Fam160a1	2444746	ENSMUSG00000051000
Fcho2	Fcho2	3505790	ENSMUSG00000041685
Fryl	Fryl	1919563	ENSMUSG00000070733
Gfm1	Gfm1	107339	ENSMUSG00000027774
Gpr107	Gpr107	2139054	ENSMUSG00000000194
H13	H13	95886	ENSMUSG00000019188
Hira	Hira	99430	ENSMUSG00000022702
Hmgxb3	Hmgxb3	2441817	ENSMUSG00000024622
Ift140	Ift140	2146906	ENSMUSG00000024169
Kif18b	Kif18b	2446979	ENSMUSG00000051378
Kif3b	Kif3b	107688	ENSMUSG00000027475
Kifap3	Kifap3	107566	ENSMUSG00000026585
Lztr	Lztr1	1914113	ENSMUSG00000022761
Mad2l2	Mad2l2	1919140	ENSMUSG00000029003
Map2k7	Map2k7	1346871	ENSMUSG00000002948
Mir96	Mir96	3619440	ENSMUSG00000065586
Morc2a	Morc2a	1921772	ENSMUSG00000034543
Mtor	Mtor	1928394	ENSMUSG00000028991
Nadk2	Nadk2	1915896	ENSMUSG00000022253
Nek9	Nek9	2387995	ENSMUSG00000034290
Oaz1	Oaz1	109433	ENSMUSG00000035242
Orc1	Orc1	1328337	ENSMUSG00000028587
Otud7b	Otud7b	2654703	ENSMUSG00000038495
Pdzk1	Pdzk1	1928901	ENSMUSG00000038298
Pgap2	Pgap2	2385286	ENSMUSG00000030990
Pigf	Pigf	99462	ENSMUSG00000024145
Pigl	Pigl	2681271	ENSMUSG00000014245
Psph	Psph	97788	ENSMUSG00000029446
Rala	Rala	1927243	ENSMUSG00000008859
Rpgripl1	Rpgrip1l	1920563	ENSMUSG00000033282
Sh3pxd2a	Sh3pxd2a	1298393	ENSMUSG00000053617
Smc3	Smc3	1339795	ENSMUSG00000024974
Smg1	Smg1	1919742	ENSMUSG00000030655
Smg9	Smg9	1919247	ENSMUSG00000002210
Ssr2	Ssr2	1913506	ENSMUSG00000041355
Supt3	Supt3	1923723	ENSMUSG00000038954
Tial1	Tial1	107913	ENSMUSG00000030846
Timmdc1	Timmdc1	1922139	ENSMUSG00000002846
Tmem30a	Tmem30a	106402	ENSMUSG00000032328
Tmem98	Tmem98	1923457	ENSMUSG00000035413
Traf2	Traf2	101835	ENSMUSG00000026942
Traf6	Traf6	108072	ENSMUSG00000027164
Trps1	Trps1	1927616	ENSMUSG00000038679
Wrap53	Wrap53	2384933	ENSMUSG00000041346
Zfyve20	Zfyve20	1925537	ENSMUSG00000014550
Zkscan14	Zkscan14	1914485	ENSMUSG00000029627
Zkscan17	Zkscan17	2679270	ENSMUSG00000020472
