Gene ID	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	4somites_1 count	4somites_2 count	4somites_3 count	5somites_1 count	5somites_2 count	5somites_3 count	5somites_4 count	6somites_1 count	6somites_2 count	6somites_3 count	6somites_4 count	7somites_1 count	7somites_2 count	7somites_3 count	7somites_4 count	8somites_1 count	8somites_2 count	8somites_3 count	8somites_4 count	9somites_1 count	9somites_2 count	9somites_3 count	9somites_4 count	10somites_1 count	10somites_2 count	10somites_3 count	10somites_4 count	11somites_1 count	11somites_2 count	11somites_3 count	11somites_4 count	12somites_1 count	12somites_2 count	12somites_3 count	12somites_4 count	13somites_1 count	13somites_2 count	13somites_3 count	13somites_4 count	14somites_1 count	14somites_2 count	14somites_3 count	14somites_4 count	15somites_1 count	15somites_2 count	15somites_3 count	15somites_4 count	16somites_1 count	16somites_2 count	16somites_3 count	16somites_4 count	17somites_1 count	17somites_2 count	17somites_3 count	17somites_4 count	18somites_1 count	18somites_2 count	18somites_3 count	18somites_4 count	19somites_1 count	19somites_2 count	19somites_3 count	19somites_4 count	20somites_1 count	20somites_2 count	20somites_3 count	20somites_4 count	ES_21somites_1 count	ES_21somites_2 count	ES_21somites_3 count	ES_21somites_4 count	ES_22somites_1 count	ES_22somites_2 count	ES_22somites_3 count	ES_22somites_4 count	ES_23somites_1 count	ES_23somites_2 count	ES_23somites_3 count	ES_23somites_4 count	ES_24somites_1 count	ES_24somites_2 count	ES_24somites_3 count	ES_24somites_4 count	25somites_1 count	25somites_2 count	25somites_3 count	25somites_4 count	26somites_1 count	26somites_2 count	26somites_3 count	26somites_4 count	27somites_1 count	27somites_2 count	27somites_3 count	27somites_4 count	28somites_1 count	28somites_2 count	28somites_3 count	28somites_4 count	34somites_1 count	34somites_2 count	34somites_3 count	34somites_4 count	35somites_1 count	35somites_2 count	35somites_3 count	35somites_4 count	36somites_1 count	36somites_2 count	36somites_3 count	36somites_4 count	4somites_1 normalised count	4somites_2 normalised count	4somites_3 normalised count	5somites_1 normalised count	5somites_2 normalised count	5somites_3 normalised count	5somites_4 normalised count	6somites_1 normalised count	6somites_2 normalised count	6somites_3 normalised count	6somites_4 normalised count	7somites_1 normalised count	7somites_2 normalised count	7somites_3 normalised count	7somites_4 normalised count	8somites_1 normalised count	8somites_2 normalised count	8somites_3 normalised count	8somites_4 normalised count	9somites_1 normalised count	9somites_2 normalised count	9somites_3 normalised count	9somites_4 normalised count	10somites_1 normalised count	10somites_2 normalised count	10somites_3 normalised count	10somites_4 normalised count	11somites_1 normalised count	11somites_2 normalised count	11somites_3 normalised count	11somites_4 normalised count	12somites_1 normalised count	12somites_2 normalised count	12somites_3 normalised count	12somites_4 normalised count	13somites_1 normalised count	13somites_2 normalised count	13somites_3 normalised count	13somites_4 normalised count	14somites_1 normalised count	14somites_2 normalised count	14somites_3 normalised count	14somites_4 normalised count	15somites_1 normalised count	15somites_2 normalised count	15somites_3 normalised count	15somites_4 normalised count	16somites_1 normalised count	16somites_2 normalised count	16somites_3 normalised count	16somites_4 normalised count	17somites_1 normalised count	17somites_2 normalised count	17somites_3 normalised count	17somites_4 normalised count	18somites_1 normalised count	18somites_2 normalised count	18somites_3 normalised count	18somites_4 normalised count	19somites_1 normalised count	19somites_2 normalised count	19somites_3 normalised count	19somites_4 normalised count	20somites_1 normalised count	20somites_2 normalised count	20somites_3 normalised count	20somites_4 normalised count	ES_21somites_1 normalised count	ES_21somites_2 normalised count	ES_21somites_3 normalised count	ES_21somites_4 normalised count	ES_22somites_1 normalised count	ES_22somites_2 normalised count	ES_22somites_3 normalised count	ES_22somites_4 normalised count	ES_23somites_1 normalised count	ES_23somites_2 normalised count	ES_23somites_3 normalised count	ES_23somites_4 normalised count	ES_24somites_1 normalised count	ES_24somites_2 normalised count	ES_24somites_3 normalised count	ES_24somites_4 normalised count	25somites_1 normalised count	25somites_2 normalised count	25somites_3 normalised count	25somites_4 normalised count	26somites_1 normalised count	26somites_2 normalised count	26somites_3 normalised count	26somites_4 normalised count	27somites_1 normalised count	27somites_2 normalised count	27somites_3 normalised count	27somites_4 normalised count	28somites_1 normalised count	28somites_2 normalised count	28somites_3 normalised count	28somites_4 normalised count	34somites_1 normalised count	34somites_2 normalised count	34somites_3 normalised count	34somites_4 normalised count	35somites_1 normalised count	35somites_2 normalised count	35somites_3 normalised count	35somites_4 normalised count	36somites_1 normalised count	36somites_2 normalised count	36somites_3 normalised count	36somites_4 normalised count
XLOC_000106	NA	NA	NA	1	17098032	17122673	1	novel	XLOC_000106	XLOC_000106	12	4	0	6	1	1	2	7	9	3	6	2	4	1	9	12	6	4	1	4	3	2	3	9	5	5	4	1	7	3	5	4	7	2	4	3	8	1	3	3	2	2	5	14	12	4	6	4	1	15	6	3	2	6	7	7	14	4	1	3	16	2	4	3	9	16	8	5	3	7	9	3	6	8	7	6	0	6	7	8	2	9	5	5	9	7	5	5	1	7	4	2	3	5	1	1	6	3	1	3	3	0	4	3	3	5	1	1	2	0	3	3.71589078930972	4.04706943178672	0	7.01531596373321	1.08667624541696	1.02352125037649	2.10961800229284	5.91664191160621	4.86339421783155	3.15785736770702	7.20753315638592	2.66404689971362	4.18840562450848	1.03723589245651	6.61697813577705	3.5529877260088	9.46551964502181	5.96716182873391	1.45588303519121	4.58865803604384	3.30148948177009	2.27193130401197	2.94530351783115	10.0410909294341	5.58417370138356	5.07814337050873	4.21159045236574	1.24666936233696	6.84864458079623	2.71109818849818	5.76479839113238	4.38657558962688	6.98108417333407	1.96247637560783	3.77465126291676	3.24052961181408	10.487745396875	1.41584585643034	3.66711177985189	4.4069144969059	3.10684517018653	2.16568715392552	4.95645444777982	4.82496068722911	3.84474927826996	4.67037597262921	2.61531796478487	8.12615395743468	1.19625231678191	4.71191987988858	9.79387729245467	6.31043101246813	3.21466780756924	3.44829828818099	3.80712194881514	3.45173994660347	5.29973074374224	4.44891200499342	1.72407367432217	4.26206981203912	6.18036014132309	3.56220310138426	7.1462215941794	5.55127149990417	3.86773689316269	5.73282160366877	4.00047558559625	4.9015789690878	3.81938521620792	5.32390691276431	7.27260797769123	3.30053328353982	4.7652046065881	7.76569645617253	4.49786412431626	6.9260601739808	0	4.64708060385929	6.39568391742025	8.08381442477496	2.14031773266672	9.17474649772007	4.5221438214261	5.05680308645578	8.57994544464386	5.78866033846104	4.74000890108644	4.35199292571519	0.968516310635056	6.57992947202084	3.70815687649249	2.15406083279549	3.05411052550231	5.01953147479719	0.962298930641383	1.22319849828506	11.9155585461579	4.55745413764725	1.41373598368292	3.14368091019905	2.85739679779125	0	4.18165154839796	2.69351909233385	3.12882137383147	5.45283856002386	0.918210609873555	2.66706897399024	5.74754858958031	0	5.2231451075713
XLOC_000557	NA	NA	NA	1	71684175	71693758	1	novel	XLOC_000557	XLOC_000557	7	3	3	1	0	1	1	1	3	2	0	1	2	1	5	4	0	0	0	2	3	2	1	3	3	1	0	1	1	2	1	1	2	3	4	0	0	2	1	1	0	1	1	6	6	2	2	1	2	4	1	0	2	6	6	3	5	4	0	1	8	1	0	0	9	13	3	3	3	2	1	3	6	4	7	0	3	4	3	3	3	2	3	1	2	8	2	0	2	3	3	4	1	2	2	4	3	3	0	6	1	4	2	3	1	2	3	1	3	1	1	2.16760296043067	3.03530207384004	3.21361759475778	1.16921932728887	0	1.02352125037649	1.05480900114642	0.845234558800888	1.62113140594385	2.10523824513802	0	1.33202344985681	2.09420281225424	1.03723589245651	3.67609896432058	1.18432924200293	0	0	0	2.29432901802192	3.30148948177009	2.27193130401197	0.981767839277049	3.34703030981135	3.35050422083014	1.01562867410175	0	1.24666936233696	0.978377797256604	1.80739879233212	1.15295967822648	1.09664389740672	1.99459547809545	2.94371456341175	3.77465126291676	0	0	2.83169171286068	1.22237059328396	1.46897149896863	0	1.08284357696276	0.991290889555964	2.06784029452676	1.92237463913498	2.33518798631461	0.871772654928289	2.03153848935867	2.39250463356382	1.25651196797029	1.63231288207578	0	3.21466780756924	3.44829828818099	3.26324738469869	1.47931711997291	1.89276097990794	4.44891200499342	0	1.42068993734637	3.09018007066154	1.78110155069213	0	0	3.86773689316269	4.65791755298088	1.50017834459859	2.94094738145268	3.81938521620792	1.5211162607898	0.808067553076803	3.30053328353982	4.7652046065881	3.88284822808626	4.49786412431626	0	2.85201053713886	3.09805373590619	2.74100739318011	3.03143040929061	3.21047659900008	2.03883255504891	2.71328629285566	1.01136061729116	1.90665454325419	6.61561181538405	1.89600356043458	0	1.93703262127011	2.81996977372322	2.78111765736937	4.30812166559099	1.0180368418341	2.00781258991888	1.92459786128277	4.89279399314022	5.95777927307895	4.55745413764725	0	6.2873618203981	0.952465599263749	3.86621859732225	2.09082577419898	2.69351909233385	1.04294045794382	2.18113542400955	2.75463182962066	2.66706897399024	8.62132288437046	1.77066757909328	1.74104836919043
XLOC_000598	NA	NA	NA	1	74397390	74399989	1	novel	XLOC_000598	XLOC_000598	32	8	6	14	9	9	8	12	24	9	12	8	14	11	14	40	9	7	6	7	10	14	18	9	12	8	13	8	17	15	8	9	11	16	13	11	8	7	5	7	6	2	14	47	44	17	35	6	12	38	6	5	11	27	25	31	37	5	8	11	44	9	9	5	40	31	19	12	9	20	25	9	16	13	16	6	10	14	17	12	7	12	9	12	16	9	11	19	16	14	9	11	6	8	13	11	5	10	7	4	19	17	18	14	7	13	18	8	2	5	3	9.90904210482592	8.09413886357343	6.42723518951555	16.3690705820441	9.78008620875265	9.21169125338839	8.43847200917137	10.1428147056107	12.9690512475508	9.47357210312107	14.4150663127718	10.6561875988545	14.6594196857797	11.4095948170216	10.2930771000976	11.8432924200293	14.1982794675327	10.4425332002843	8.73529821114727	8.03015156307672	11.0049649392336	15.9035191280838	17.6718211069869	10.0410909294341	13.4020168833205	8.12502939281397	13.6876689701887	9.97335489869569	16.6324225533623	13.5554909424909	9.22367742581181	9.86979507666049	10.970275129525	15.6998110048627	12.2676166044795	11.881941909985	10.487745396875	9.91092099501238	6.11185296641982	10.2828004927804	9.3205355105596	2.16568715392552	13.8780724537835	16.1980823071263	14.0974140203232	19.8490978836742	15.2560214612451	12.189230936152	14.3550278013829	11.9368636957177	9.79387729245467	10.5173850207802	17.6806729416308	15.5173422968144	13.5968641029112	15.2862769063868	14.0064312513188	5.56114000624178	13.7925893945773	15.6275893108101	16.9959903886385	16.0299139562292	16.0789985869036	9.25211916650695	17.1899417473897	11.1073418571082	9.50112951579109	11.7637895258107	11.4581556486238	15.211162607898	20.2016888269201	9.90159985061946	12.7072122842349	12.6192567412804	10.2808322841514	6.9260601739808	9.50670179046286	10.8431880756717	15.5323752280206	12.1257216371624	7.49111206433352	12.2329953302934	8.13985887856699	12.1363274074939	15.2532363460335	7.44256329230706	10.4280195823902	16.5375731177177	15.4962609701609	13.1598589440417	8.34335297210811	11.8473345803752	6.10822105100462	8.0312503596755	12.509886098338	13.4551834811356	9.92963212179825	15.1915137921575	9.89615188578043	4.19157454693207	18.0968463860112	16.4314290386196	18.8174319677908	12.5697557642247	7.30058320560676	14.177380256062	16.527790977724	21.3365517919219	5.74754858958031	8.85333789546642	5.2231451075713
XLOC_000639	NA	NA	NA	1	77522257	77560636	1	novel	XLOC_000639	XLOC_000639	45	14	15	8	8	15	14	16	26	15	12	12	12	15	17	50	8	11	12	5	20	8	20	14	9	13	22	5	14	12	16	7	11	17	20	12	8	10	5	13	10	14	12	25	25	12	35	3	14	29	5	3	4	18	19	16	35	12	0	10	30	5	8	3	18	16	21	7	9	9	8	5	10	5	9	8	7	13	8	7	6	5	15	5	9	13	5	5	5	5	11	4	3	9	3	7	2	2	2	3	2	4	3	4	7	3	8	3	2	2	2	13.9345904599114	14.1647430112535	16.0680879737889	9.35375461831094	8.69340996333569	15.3528187556473	14.7673260160499	13.5237529408142	14.04980551818	15.7892868385351	14.4150663127718	15.9842813982817	12.5652168735254	15.5585383868477	12.49873647869	14.8041155250367	12.6206928600291	16.4096950290183	17.4705964222945	5.7358225450548	22.0099298784673	9.08772521604789	19.635356785541	15.6194747791196	10.0515126624904	13.2031727633227	23.1637474880116	6.2333468116848	13.6972891615925	10.8443927539927	18.4473548516236	7.67650728184705	10.970275129525	16.6810491926666	18.8732563145838	12.9621184472563	10.487745396875	14.1584585643034	6.11185296641982	19.0966294865922	15.5342258509327	15.1598100774786	11.8954906746716	8.61600122719485	8.00989432972909	14.0111279178876	15.2560214612451	6.09461546807601	16.7475324349467	9.10971176778459	8.16156441037889	6.31043101246813	6.42933561513849	10.344894864543	10.3336167182125	7.88969130652221	13.2493268593556	13.3467360149803	0	14.2068993734637	11.5881752649808	8.90550775346064	14.2924431883588	5.55127149990417	7.73547378632538	5.73282160366877	10.5012484121902	6.86221055672291	11.4581556486238	6.84502317355411	6.46454042461442	5.5008888058997	7.94200767764684	4.85356028510783	5.78296815983519	9.23474689864107	6.654691253324	10.0686746416951	7.30935304848029	7.07333762167809	6.42095319800016	5.09708138762226	13.5664314642783	5.05680308645578	8.57994544464386	10.7503691999991	4.74000890108644	4.35199292571519	4.84258155317528	4.69994962287203	10.1974314103544	4.30812166559099	3.05411052550231	9.03515665463494	2.88689679192415	8.56238948799539	3.9718528487193	3.0383027584315	2.82747196736584	3.14368091019905	1.9049311985275	3.86621859732225	3.13623866129847	3.59135878977847	7.30058320560676	3.27170313601432	7.34568487898844	8.00120692197071	5.74754858958031	3.54133515818657	3.48209673838087
XLOC_000641	NA	NA	NA	1	78200494	78203049	1	novel	XLOC_000641	XLOC_000641	8	3	7	4	3	7	7	4	6	6	4	1	1	4	11	9	5	3	1	5	7	6	3	3	4	9	3	6	5	2	1	6	6	3	2	3	1	2	4	5	1	3	6	16	20	4	8	5	1	25	5	3	1	14	11	16	17	2	5	13	30	2	4	7	16	22	16	7	5	12	14	5	10	9	21	7	6	6	10	14	4	7	15	3	10	10	2	11	10	13	6	11	8	9	13	3	7	11	12	19	24	17	15	14	18	17	12	1	6	11	16	2.47726052620648	3.03530207384004	7.49844105443481	4.67687730915547	3.26002873625088	7.16464875263541	7.38366300802495	3.38093823520355	3.2422628118877	6.31571473541405	4.80502210425728	1.33202344985681	1.04710140612712	4.14894356982605	8.08741772150528	2.6647407945066	7.88793303751817	4.47537137155043	1.45588303519121	5.7358225450548	7.70347545746355	6.81579391203591	2.94530351783115	3.34703030981135	4.46733896110685	9.14065806691572	3.15869283927431	7.48001617402176	4.89188898628302	1.80739879233212	1.15295967822648	6.57986338444033	5.98378643428634	2.94371456341175	1.88732563145838	3.24052961181408	1.31096817460938	2.83169171286068	4.88948237313586	7.34485749484316	1.55342258509327	3.24853073088828	5.94774533733579	5.5142407854047	6.40791546378327	4.67037597262921	3.48709061971316	10.1576924467933	1.19625231678191	7.8531997998143	8.16156441037889	6.31043101246813	1.60733390378462	8.04602933908897	5.98262020528093	7.88969130652221	6.43538733168701	2.22445600249671	8.62036837161084	18.4689691855028	11.5881752649808	3.56220310138426	7.1462215941794	12.9529668331097	6.87597669895589	7.88262970504456	8.0009511711925	6.86221055672291	6.3656420270132	9.12669756473881	11.3129457430752	5.5008888058997	7.94200767764684	8.7364085131941	13.4935923729488	8.08040353631094	5.70402107427772	4.64708060385929	9.13669131060036	14.1466752433562	4.28063546533344	7.13591394267117	13.5664314642783	3.03408185187347	9.53327271627095	8.26951476923006	1.89600356043458	9.57438443657343	9.68516310635056	12.2198690194673	5.56223531473874	11.8473345803752	8.14429473467283	9.03515665463494	12.509886098338	3.66959549485517	13.9014849705176	16.7106651713732	16.964831804195	19.9099790979273	22.85917438233	16.4314290386196	15.6811933064923	12.5697557642247	18.7729282429888	18.5396511040811	11.0185273184827	2.66706897399024	17.2426457687409	19.4773433700261	27.8567739070469
XLOC_000823	NA	NA	NA	1	91865114	91868788	1	novel	XLOC_000823	XLOC_000823	13	6	1	2	2	8	4	7	5	2	3	7	6	4	5	13	1	0	4	2	3	6	5	5	4	4	1	3	4	6	5	3	4	2	6	4	9	2	5	4	4	5	8	12	30	6	9	0	4	18	2	1	8	11	6	12	18	9	5	6	24	1	2	3	17	26	21	7	6	16	6	7	15	14	14	9	8	16	13	11	11	10	15	7	16	7	6	14	12	16	11	13	13	18	15	10	3	7	13	14	14	12	11	13	15	13	19	9	6	7	8	4.02554835508553	6.07060414768007	1.07120586491926	2.33843865457774	2.17335249083392	8.1881700030119	4.21923600458569	5.91664191160621	2.70188567657308	2.10523824513802	3.60376657819296	9.32416414899767	6.28260843676271	4.14894356982605	3.67609896432058	3.84907003650953	1.57758660750363	0	5.82353214076484	2.29432901802192	3.30148948177009	6.81579391203591	4.90883919638525	5.57838384968559	4.46733896110685	4.06251469640698	1.05289761309144	3.74000808701088	3.91351118902642	5.42219637699636	5.76479839113238	3.28993169222016	3.9891909561909	1.96247637560783	5.66197689437515	4.32070614908544	11.7987135714844	2.83169171286068	6.11185296641982	5.87588599587453	6.21369034037307	5.41421788481379	7.93032711644772	4.13568058905353	9.6118731956749	7.00556395894382	3.9229769471773	0	4.78500926712764	5.65430385586629	3.26462576415156	2.10347700415604	12.858671230277	6.32188019499847	3.26324738469869	5.91726847989166	6.8139395276686	10.0100520112352	8.62036837161084	8.52413962407824	9.27054021198463	1.78110155069213	3.5731107970897	5.55127149990417	7.30572524264063	9.31583510596176	10.5012484121902	6.86221055672291	7.63877043241584	12.1689300863184	4.84840531846082	7.70124432825958	11.9130115164703	13.5899687983019	8.99572824863251	10.3890902609712	7.60536143237029	12.3922149436248	11.8776987037805	11.1152448340656	11.771747529667	10.1941627752445	13.5664314642783	7.07952432103809	15.2532363460335	5.78866033846104	5.68801068130373	12.1855801920025	11.6221957276207	15.0398387931905	10.1974314103544	14.0013954131707	13.2344789438433	18.0703133092699	14.4344839596207	12.2319849828506	5.95777927307895	10.6340596545102	18.3785677878779	14.6705109142622	13.3345183896925	11.5986557919667	11.4995417580944	11.67191606678	15.6441068691574	14.177380256062	17.4460015875975	24.0036207659121	17.2426457687409	12.394673053653	13.9283869535235
XLOC_000870	NA	NA	NA	1	95160104	95165447	1	novel	XLOC_000870	XLOC_000870	1	0	0	0	0	1	0	1	1	0	1	0	2	0	0	2	0	0	0	1	0	0	0	1	0	1	0	1	0	2	2	1	1	1	0	0	1	1	3	2	2	2	2	7	10	0	10	2	1	6	2	1	1	10	6	4	6	3	2	3	6	2	2	2	6	4	1	1	2	4	3	1	2	0	4	2	0	1	2	1	1	1	2	2	2	1	0	2	3	1	1	2	1	2	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0.30965756577581	0	0	0	0	1.02352125037649	0	0.845234558800888	0.540377135314617	0	1.20125552606432	0	2.09420281225424	0	0	0.592164621001466	0	0	0	1.14716450901096	0	0	0	1.11567676993712	0	1.01562867410175	0	1.24666936233696	0	1.80739879233212	2.30591935645295	1.09664389740672	0.997297739047724	0.981238187803917	0	0	1.31096817460938	1.41584585643034	3.66711177985189	2.93794299793727	3.10684517018653	2.16568715392552	1.98258177911193	2.41248034361456	3.20395773189163	0	4.35886327464145	4.06307697871734	1.19625231678191	1.88476795195543	3.26462576415156	2.10347700415604	1.60733390378462	5.74716381363498	3.26324738469869	1.97242282663055	2.27131317588953	3.33668400374507	3.44814734864433	4.26206981203912	2.31763505299616	3.56220310138426	3.5731107970897	3.70084766660278	2.57849126210846	1.43320540091719	0.500059448199531	0.980315793817559	2.54625681080528	3.0422325215796	2.42420265923041	1.10017776117994	1.58840153552937	0	2.57020807103786	2.30868672466027	0	0.774513433976549	1.82733826212007	1.01047680309687	1.07015886633336	1.01941627752445	1.80885752857044	2.02272123458231	1.90665454325419	0.826951476923006	0	1.74079717028608	2.90554893190517	0.939989924574405	0.927039219123123	2.15406083279549	1.0180368418341	2.00781258991888	0	0	1.98592642435965	0	1.41373598368292	1.04789363673302	0	0.966554649330562	0	0	0	0	0	0	0	0	0
XLOC_001418	NA	NA	NA	1	166048022	166051173	1	novel	XLOC_001418	XLOC_001418	17	3	3	6	3	3	8	6	15	6	3	4	6	8	3	19	3	9	1	8	7	6	6	6	2	4	8	5	11	12	5	7	6	3	10	3	4	7	3	7	5	7	4	23	23	7	20	4	10	17	7	3	0	25	15	11	13	8	8	5	18	5	6	2	27	44	17	4	4	17	9	10	13	12	15	9	4	9	8	7	6	7	9	9	7	9	13	12	8	11	13	11	2	3	6	5	2	2	9	4	5	8	5	5	5	6	4	0	4	5	3	5.26417861818877	3.03530207384004	3.21361759475778	7.01531596373321	3.26002873625088	3.07056375112946	8.43847200917137	5.07140735280533	8.10565702971926	6.31571473541405	3.60376657819296	5.32809379942724	6.28260843676271	8.2978871396521	2.20565937859235	5.62556389951393	4.7327598225109	13.4261141146513	1.45588303519121	9.17731607208768	7.70347545746355	6.81579391203591	5.89060703566229	6.6940606196227	2.23366948055342	4.06251469640698	8.42318090473148	6.2333468116848	10.7621557698226	10.8443927539927	5.76479839113238	7.67650728184705	5.98378643428634	2.94371456341175	9.43662815729191	3.24052961181408	5.24387269843752	9.91092099501238	3.66711177985189	10.2828004927804	7.76711292546634	7.57990503873931	3.96516355822386	7.92672112901926	7.36910278335076	8.17315795210112	8.71772654928289	8.12615395743468	11.9625231678191	5.34017586387372	11.4261901745305	6.31043101246813	0	14.3679095340874	8.15811846174672	5.42416277323402	4.92117854776065	8.89782400998684	13.7925893945773	7.10344968673186	6.95290515898847	8.90550775346064	10.7193323912691	3.70084766660278	11.6032106794881	15.7652594100891	8.50101061939203	3.92126317527024	5.09251362161056	12.9294882167133	7.27260797769123	11.0017776117994	10.3246099809409	11.6485446842588	9.63828026639198	10.3890902609712	3.80268071618515	6.97062090578894	7.30935304848029	7.07333762167809	6.42095319800016	7.13591394267117	8.13985887856699	9.10224555562041	6.67329090138967	7.44256329230706	12.3240231428247	10.4447830217165	7.74813048508045	10.3398891703185	12.0515098486006	11.8473345803752	2.03607368366821	3.01171888487831	5.7737935838483	6.11599249142528	3.9718528487193	3.0383027584315	12.7236238531463	4.19157454693207	4.76232799631874	7.7324371946445	5.22706443549744	4.48919848722309	5.21470228971912	6.54340627202864	3.67284243949422	0	11.4950971791606	8.85333789546642	5.2231451075713
XLOC_001439	NA	NA	NA	1	169254609	169259416	1	novel	XLOC_001439	XLOC_001439	1	2	1	1	0	1	1	2	0	1	3	2	0	0	1	5	0	3	1	0	0	0	0	2	1	3	1	2	0	3	4	2	3	0	0	3	0	0	3	3	3	4	2	9	7	2	4	2	4	8	3	3	2	8	14	10	5	1	4	1	13	3	2	2	14	16	7	4	5	11	5	8	10	1	8	4	8	6	10	1	3	4	9	5	5	10	7	8	4	12	7	5	10	4	10	1	3	9	5	9	7	8	8	21	18	11	14	3	5	8	8	0.30965756577581	2.02353471589336	1.07120586491926	1.16921932728887	0	1.02352125037649	1.05480900114642	1.69046911760178	0	1.05261912256901	3.60376657819296	2.66404689971362	0	0	0.735219792864116	1.48041155250366	0	4.47537137155043	1.45588303519121	0	0	0	0	2.23135353987423	1.11683474027671	3.04688602230524	1.05289761309144	2.49333872467392	0	2.71109818849818	4.6118387129059	2.19328779481344	2.99189321714317	0	0	3.24052961181408	0	0	3.66711177985189	4.4069144969059	4.6602677552798	4.33137430785103	1.98258177911193	3.10176044179015	2.24277041232414	2.33518798631461	1.74354530985658	4.06307697871734	4.78500926712764	2.51302393594058	4.89693864622734	6.31043101246813	3.21466780756924	4.59773105090798	7.61424389763027	4.93105706657638	1.89276097990794	1.11222800124836	6.89629469728867	1.42068993734637	5.02154261482501	5.34330465207639	3.5731107970897	3.70084766660278	6.0164796115864	5.73282160366877	3.50041613739672	3.92126317527024	6.3656420270132	8.36613943434391	4.04033776538401	8.80142208943952	7.94200767764684	0.970712057021566	5.14041614207572	4.61737344932054	7.60536143237029	4.64708060385929	9.13669131060036	1.01047680309687	3.21047659900008	4.07766511009781	8.13985887856699	5.05680308645578	4.76663635813548	8.26951476923006	6.63601246152101	6.96318868114431	3.87406524254022	11.2798790948929	6.48927453386186	5.38515208198873	10.180368418341	4.01562517983775	9.62298930641383	1.22319849828506	5.95777927307895	13.6723624129417	7.06867991841459	9.43104273059715	6.66725919484624	7.7324371946445	8.36330309679591	18.854633646337	18.7729282429888	11.9962448320525	12.8549485382298	8.00120692197071	14.3688714739508	14.1653406327463	13.9283869535235
XLOC_001623	NA	NA	NA	1	182020074	182029842	1	novel	XLOC_001623	XLOC_001623	17	2	2	4	3	6	5	9	7	1	3	0	6	3	9	23	5	5	1	4	6	8	4	5	5	7	6	3	9	3	6	4	8	6	3	4	7	8	6	8	5	11	6	17	20	7	30	3	2	15	6	6	2	17	13	14	23	8	5	5	13	3	6	7	29	19	17	5	4	14	15	6	11	17	14	6	8	14	12	8	2	3	7	8	11	10	10	8	13	11	8	7	8	14	12	8	4	7	11	14	13	9	15	15	15	10	17	9	1	8	5	5.26417861818877	2.02353471589336	2.14241172983852	4.67687730915547	3.26002873625088	6.14112750225893	5.27404500573211	7.60711102920799	3.78263994720232	1.05261912256901	3.60376657819296	0	6.28260843676271	3.11170767736954	6.61697813577705	6.80989314151686	7.88793303751817	7.45895228591739	1.45588303519121	4.58865803604384	6.60297896354018	9.08772521604789	3.9270713571082	5.57838384968559	5.58417370138356	7.10940071871222	6.31738567854861	3.74000808701088	8.80540017530944	2.71109818849818	6.91775806935885	4.38657558962688	7.97838191238179	5.8874291268235	2.83098844718757	4.32070614908544	9.17677722226565	11.3267668514427	7.33422355970378	11.7517719917491	7.76711292546634	11.9112793465903	5.94774533733579	5.8588808344925	6.40791546378327	8.17315795210112	13.0765898239243	6.09461546807601	2.39250463356382	4.71191987988858	9.79387729245467	12.6208620249363	3.21466780756924	9.77017848317946	7.07036933351382	6.90347989320693	8.70670050757654	8.89782400998684	8.62036837161084	7.10344968673186	5.02154261482501	5.34330465207639	10.7193323912691	12.9529668331097	12.4627077668576	6.80772565435667	8.50101061939203	4.9015789690878	5.09251362161056	10.6478138255286	12.121013296152	6.60106656707964	8.73620844541152	16.5021049693666	8.99572824863251	6.9260601739808	7.60536143237029	10.8431880756717	10.9640295727204	8.08381442477496	2.14031773266672	3.05824883257336	6.33100134999655	8.09088493832925	10.486599987898	8.26951476923006	9.48001780217288	6.96318868114431	12.5907120382557	10.3398891703185	7.41631375298499	7.53921291478423	8.14429473467283	14.0546881294321	11.5475871676966	9.78558798628044	7.9437056974386	10.6340596545102	15.5510958205121	14.6705109142622	12.3820527904287	8.69899184397506	15.6811933064923	13.4675954616693	15.6441068691574	10.9056771200477	15.6095803678504	24.0036207659121	2.87377429479015	14.1653406327463	8.70524184595216
